Altium Designer Pick and Place Locations
C:\MyFiles\x-io\Services\MICA Lab\Twintig\Twintig-IMUs\Project Outputs for Twintig-IMUs\Pick Place\Pick Place for Twintig-IMUs.csv

========================================================================================================================
File Design Information:

Date:       16/12/25
Time:       15:10
Revision:   b7c0ada39cfe6ccd94f3424458b608efd1127f59
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment"
"R2","5.0000mm","1.0000mm","TopLayer","0","33R"
"R1","5.0000mm","1.7500mm","TopLayer","0","33R"
"U3_CH4","294.2500mm","3.5000mm","TopLayer","270","SK6805-EC15"
"U3_CH3","254.2500mm","3.5000mm","TopLayer","270","SK6805-EC15"
"U3_CH2","194.2500mm","3.5000mm","TopLayer","270","SK6805-EC15"
"U2_CH4","297.0000mm","4.0000mm","TopLayer","180","ICM-42688-P"
"U2_CH3","257.0000mm","4.0000mm","TopLayer","180","ICM-42688-P"
"U2_CH2","197.0000mm","4.0000mm","TopLayer","180","ICM-42688-P"
"C4_CH4","295.0000mm","5.2750mm","TopLayer","90","2.2uF"
"C4_CH3","255.0000mm","5.2750mm","TopLayer","90","2.2uF"
"C4_CH2","195.0000mm","5.2750mm","TopLayer","90","2.2uF"
"C3_CH4","294.2500mm","5.2750mm","TopLayer","90","100nF"
"C3_CH3","254.2500mm","5.2750mm","TopLayer","90","100nF"
"C3_CH2","194.2500mm","5.2750mm","TopLayer","90","100nF"
"C2_CH4","293.5000mm","5.2500mm","TopLayer","270","1uF"
"C2_CH3","253.5000mm","5.2500mm","TopLayer","270","1uF"
"C2_CH2","193.5000mm","5.2500mm","TopLayer","270","1uF"
"U2_CH1","117.0000mm","4.0000mm","TopLayer","180","ICM-42688-P"
"C4_CH1","115.0000mm","5.2750mm","TopLayer","90","2.2uF"
"C3_CH1","114.2500mm","5.2750mm","TopLayer","90","100nF"
"U3_CH1","114.2500mm","3.5000mm","TopLayer","270","SK6805-EC15"
"C2_CH1","113.5000mm","5.2500mm","TopLayer","270","1uF"
"U1","5.5000mm","4.0000mm","TopLayer","90","24AA32AT-I/MC"
"J1","2.0000mm","4.0000mm","TopLayer","270","Molex 502426-2030"
"C1","5.0000mm","6.2500mm","TopLayer","180","100nF"
